keyword,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
augment,29,-0.02,0.69,0.81,0.75
australian-researcher,24,-0.18,0.46,0.51,0.99
australian-startup,24,-0.18,0.46,0.51,0.93
author,26,-0.14,0.54,0.53,0.97
authorize,22,-0.06,0.66,0.63,0.91
automated,33,-0.11,0.59,0.73,0.88
automatically,39,-0.12,0.59,0.65,0.87
automation,3,-0.14,0.55,0.77,0.86
automotive,31,-0.09,0.60,0.53,0.97
automotive-electronics,31,-0.09,0.60,0.62,0.87
autonomous,33,-0.11,0.59,0.69,0.84
autonomous-vehicle,6,-0.17,0.45,0.53,1.00
avatar,0,-0.16,0.50,0.59,0.96
average,38,-0.21,0.45,0.63,0.83
aviation,3,-0.14,0.55,0.61,0.93
avoid,11,-0.10,0.60,0.64,0.91
awardee,26,-0.14,0.54,0.51,0.98
aware,37,-0.15,0.56,0.55,0.93
away,20,-0.13,0.57,0.50,0.92
aws,17,-0.09,0.62,0.59,0.96
azure,39,-0.12,0.59,0.62,0.97
b,13,-0.17,0.46,0.54,0.93
b22,13,-0.17,0.46,0.52,0.98
back,20,-0.13,0.57,0.51,0.98
backbone,32,-0.14,0.55,0.58,0.93
backend,39,-0.12,0.59,0.74,0.79
bacteria,7,-0.11,0.60,0.68,0.91
bad-actor,21,-0.12,0.48,0.59,0.92
ballistic-missile,36,-0.20,0.39,0.59,0.95
band,15,-0.19,0.47,0.67,0.89
bandgap,12,-0.11,0.59,0.71,0.99
bandwidth,39,-0.12,0.59,0.59,0.98
banking,3,-0.14,0.55,0.53,0.90
banking-sector,4,-0.20,0.45,0.56,0.91
bar,15,-0.19,0.47,0.57,0.91
barman,14,-0.03,0.68,0.59,0.96
basic-technology,6,-0.17,0.45,0.55,0.93
battery,17,-0.09,0.62,0.64,0.99
battle,19,-0.16,0.53,0.50,0.93
bbc,15,-0.19,0.47,0.58,0.96
be,10,-0.06,0.66,0.61,0.93
beam,1,-0.09,0.60,0.72,0.84
beam-splitter,1,-0.09,0.60,0.66,0.85
become,10,-0.06,0.66,0.51,1.00
behavior,12,-0.11,0.59,0.52,0.98
believe,11,-0.10,0.60,0.57,0.91
bell,15,-0.19,0.47,0.56,0.93
belong,11,-0.10,0.60,0.56,0.97
bend,19,-0.16,0.53,0.63,0.91
beneficial,37,-0.15,0.56,0.77,0.79
benign,35,-0.17,0.50,0.67,0.87
best,8,-0.17,0.51,0.52,0.99
best-in-class,33,-0.11,0.59,0.68,0.89
better,8,-0.17,0.51,0.52,0.97
better-access,16,-0.20,0.41,0.68,0.86
bi,13,-0.17,0.46,0.51,0.97
big-data-management,6,-0.17,0.45,0.51,0.92
bigger-role,32,-0.14,0.55,0.56,0.86
bigger-system,21,-0.12,0.48,0.53,0.90
big-hurdle,32,-0.14,0.55,0.60,0.86
big-leap,32,-0.14,0.55,0.60,0.89
big-step,32,-0.14,0.55,0.72,0.76
big-step-forward,32,-0.14,0.55,0.80,0.67
big-tech,25,-0.14,0.54,0.55,0.89
bill,28,-0.14,0.56,0.66,0.84
binary,12,-0.11,0.59,0.55,0.97
binary-value,21,-0.12,0.48,0.54,0.95
biochip,21,-0.12,0.48,0.55,0.92
bioengineering,31,-0.09,0.60,0.75,0.83
bioimaging,31,-0.09,0.60,0.73,0.84
biological,31,-0.09,0.60,0.67,0.85
biomass,1,-0.09,0.60,0.59,0.94
biomedical-imaging,31,-0.09,0.60,0.72,0.82
biometrics,39,-0.12,0.59,0.58,0.97
biopharmaceutical,31,-0.09,0.60,0.57,0.92
biophysics,31,-0.09,0.60,0.65,0.96
biosensing,31,-0.09,0.60,0.75,0.81
biosensor,1,-0.09,0.60,0.69,0.87
biotech,31,-0.09,0.60,0.57,0.95
biotechnology,31,-0.09,0.60,0.70,0.86
black-box,21,-0.12,0.48,0.56,0.95
block,11,-0.10,0.60,0.55,0.98
blockchain,39,-0.12,0.59,0.61,0.98
blockchain-transaction,18,-0.21,0.38,0.53,0.98
boast,30,-0.16,0.48,0.51,0.94
bob,14,-0.03,0.68,0.85,0.66
bobby,14,-0.03,0.68,0.87,0.59
body,20,-0.13,0.57,0.66,0.90
bolster,29,-0.02,0.69,0.76,0.76
book,20,-0.13,0.57,0.53,0.98
borrower,2,-0.19,0.47,0.53,0.96
bose-einstein-condensate,21,-0.12,0.48,0.57,0.90
bounce,19,-0.16,0.53,0.68,0.84
bound,37,-0.15,0.56,0.52,0.95
boundary,1,-0.09,0.60,0.51,0.97
box,0,-0.16,0.50,0.63,0.95
bp,13,-0.17,0.46,0.51,0.90
brain,7,-0.11,0.60,0.69,0.89
bravo,15,-0.19,0.47,0.55,0.97
break,19,-0.16,0.53,0.78,0.90
brief,28,-0.14,0.56,0.54,0.98
briefing,28,-0.14,0.56,0.57,0.88
bright,8,-0.17,0.51,0.63,0.89
bright-color,0,-0.16,0.50,0.55,0.91
bright-colour,0,-0.16,0.50,0.59,0.90
brightness,12,-0.11,0.59,0.66,0.94
bring,10,-0.06,0.66,0.74,0.96
british,15,-0.19,0.47,0.51,0.95
broader-access,16,-0.20,0.41,0.70,0.78
browser,39,-0.12,0.59,0.66,0.88
budget-friendly,0,-0.16,0.50,0.62,0.84
build,29,-0.02,0.69,0.79,0.84
building,3,-0.14,0.55,0.55,0.92
building-block,32,-0.14,0.55,0.69,0.82
bundle,0,-0.16,0.50,0.67,0.88
bus,15,-0.19,0.47,0.55,0.92
business,3,-0.14,0.55,0.57,0.89
business-leadership,3,-0.14,0.55,0.56,0.96
business-model,3,-0.14,0.55,0.60,0.90
business-processes,3,-0.14,0.55,0.67,0.88
business-user,39,-0.12,0.59,0.55,0.98
business-value,3,-0.14,0.55,0.59,0.91
butter,0,-0.16,0.50,0.55,0.91
bypass,11,-0.10,0.60,0.61,0.93
byte,13,-0.17,0.46,0.51,0.95
c12,13,-0.17,0.46,0.63,0.82
cable,1,-0.09,0.60,0.54,0.99
calcium,1,-0.09,0.60,0.57,0.93
calculate,11,-0.10,0.60,0.52,0.96
calculation,18,-0.21,0.38,0.53,0.99
calibrate,11,-0.10,0.60,0.55,0.99
calibration,12,-0.11,0.59,0.66,0.90
call,10,-0.06,0.66,0.55,1.00
call-to,34,-0.22,0.22,0.70,0.63
caltech,26,-0.14,0.54,0.70,0.79
camera,39,-0.12,0.59,0.57,0.99
cancer,7,-0.11,0.60,0.65,0.81
candidate,28,-0.14,0.56,0.63,0.87
capitalize,29,-0.02,0.69,0.68,0.85
capture,29,-0.02,0.69,0.71,0.90
car,20,-0.13,0.57,0.62,0.90
carbide,1,-0.09,0.60,0.57,0.89
carbon,1,-0.09,0.60,0.51,0.95
carbon-atom,1,-0.09,0.60,0.52,0.97
carbon-capture,3,-0.14,0.55,0.50,0.99
card,39,-0.12,0.59,0.55,0.99
career-development,3,-0.14,0.55,0.58,0.88
carrier,39,-0.12,0.59,0.54,0.96
carry,10,-0.06,0.66,0.69,0.95
case,28,-0.14,0.56,0.62,0.95
cat,15,-0.19,0.47,0.62,0.97
categorisation,18,-0.21,0.38,0.57,0.87
cater,29,-0.02,0.69,0.67,0.99
cavity,1,-0.09,0.60,0.74,0.83
cb,13,-0.17,0.46,0.56,0.86
cdse,13,-0.17,0.46,0.52,0.93
cea,13,-0.17,0.46,0.53,0.94
celebrate,10,-0.06,0.66,0.58,0.95
cell,1,-0.09,0.60,0.66,0.94
cell-layer,1,-0.09,0.60,0.65,0.95
cellular,31,-0.09,0.60,0.68,0.87
center,15,-0.19,0.47,0.53,0.95
centralized,33,-0.11,0.59,0.68,0.81
central-role,32,-0.14,0.55,0.63,0.83
ceo-professor,26,-0.14,0.54,0.51,0.96
ceremony,15,-0.19,0.47,0.59,0.94
certificate,2,-0.19,0.47,0.64,0.86
chair,28,-0.14,0.56,0.57,0.98
challenge,20,-0.13,0.57,0.52,0.99
challenging,37,-0.15,0.56,0.67,0.86
chamber,28,-0.14,0.56,0.66,0.86
change,11,-0.10,0.60,0.60,0.96
characteristic,12,-0.11,0.59,0.59,0.96
characterization,12,-0.11,0.59,0.52,0.99
characterize,11,-0.10,0.60,0.69,0.88
charge-transfer,12,-0.11,0.59,0.72,1.00
charlie,14,-0.03,0.68,0.86,0.65
charlotte,15,-0.19,0.47,0.53,0.98
chase,19,-0.16,0.53,0.64,0.84
chaser,15,-0.19,0.47,0.55,0.92
checklist,2,-0.19,0.47,0.57,0.92
chef,15,-0.19,0.47,0.65,0.99
chemical,31,-0.09,0.60,0.59,0.95
chemical-sensor,21,-0.12,0.48,0.52,0.96
chemical-system,21,-0.12,0.48,0.58,0.90
chemist,26,-0.14,0.54,0.66,0.83
chemistry,31,-0.09,0.60,0.68,0.89
chicken,0,-0.16,0.50,0.60,0.92
chief,28,-0.14,0.56,0.57,0.96
chief-creative-officer,26,-0.14,0.54,0.51,0.91
child,20,-0.13,0.57,0.68,0.82
chill,19,-0.16,0.53,0.56,0.94
chinese,25,-0.14,0.54,0.51,0.95
chip,17,-0.09,0.62,0.70,0.89
chip-technology,17,-0.09,0.62,0.59,0.94
chiral,1,-0.09,0.60,0.67,0.97
choose,10,-0.06,0.66,0.66,0.95
chronic-disease,7,-0.11,0.60,0.58,0.85
circle,15,-0.19,0.47,0.60,0.91
circuit,1,-0.09,0.60,0.54,0.97
circuit-design,31,-0.09,0.60,0.60,1.00
circuitry,1,-0.09,0.60,0.74,0.93
circuit-simulation,9,0.29,0.27,0.51,0.94
circulate,30,-0.16,0.48,0.54,0.98
circumvent,11,-0.10,0.60,0.64,0.90
cirq,6,-0.17,0.45,0.54,0.95
citizens,25,-0.14,0.54,0.61,0.86
citric-acid,1,-0.09,0.60,0.50,0.98
city,20,-0.13,0.57,0.57,0.95
civilisation,5,-0.21,0.34,0.53,0.92
civilization,5,-0.21,0.34,0.56,0.94
claim,11,-0.10,0.60,0.51,0.94
clarify,11,-0.10,0.60,0.67,0.97
class,15,-0.19,0.47,0.52,0.95
classic,0,-0.16,0.50,0.71,0.92
classical,31,-0.09,0.60,0.50,0.98
classical-computer,21,-0.12,0.48,0.78,0.87
classical-computers,17,-0.09,0.62,0.56,0.96
classical-computing,21,-0.12,0.48,0.61,0.98
classical-machine-learning,9,0.29,0.27,0.53,0.88
classical-supercomputer,21,-0.12,0.48,0.55,0.94
classic-computer,21,-0.12,0.48,0.64,0.99
classification,12,-0.11,0.59,0.60,0.98
classifier,12,-0.11,0.59,0.64,0.91
classmate,14,-0.03,0.68,0.63,0.96
clean-energy,3,-0.14,0.55,0.59,0.87
clear,37,-0.15,0.56,0.57,0.92
clear-value,16,-0.20,0.41,0.57,0.89
client,2,-0.19,0.47,0.62,0.93
clifford,14,-0.03,0.68,0.73,0.80
climate,3,-0.14,0.55,0.51,0.98
climate-change,25,-0.14,0.54,0.55,0.95
clinch,19,-0.16,0.53,0.56,0.92
clinical,31,-0.09,0.60,0.60,0.95
clip,15,-0.19,0.47,0.61,0.94
clock-synchronization,9,0.29,0.27,0.51,0.99
close,19,-0.16,0.53,0.55,0.87
cloud,39,-0.12,0.59,0.67,0.94
cloud-based,33,-0.11,0.59,0.64,0.94
cloud-computing,3,-0.14,0.55,0.67,0.93
cloud-platform,39,-0.12,0.59,0.69,0.89
cloud-services,3,-0.14,0.55,0.64,0.93
cloud-storage,39,-0.12,0.59,0.69,0.84
cluster,7,-0.11,0.60,0.56,0.98
cnrs,26,-0.14,0.54,0.54,0.93
co2,1,-0.09,0.60,0.61,0.92
coating,1,-0.09,0.60,0.73,0.84
co-author,26,-0.14,0.54,0.68,0.83
co-chair,26,-0.14,0.54,0.57,0.86
code,39,-0.12,0.59,0.75,0.88
codebook,18,-0.21,0.38,0.55,0.95
coding,31,-0.09,0.60,0.60,0.93
co-founder,26,-0.14,0.54,0.58,0.89
cognitive,31,-0.09,0.60,0.52,0.98
coherence,12,-0.11,0.59,0.58,0.91
coherence-time,13,-0.17,0.46,0.54,0.98
coherent,33,-0.11,0.59,0.59,0.93
coherent-ising-machine,9,0.29,0.27,0.53,0.78
cohort,7,-0.11,0.60,0.52,0.97
cohost,14,-0.03,0.68,0.54,1.00
cold,5,-0.21,0.34,0.57,0.98
collaborate,22,-0.06,0.66,0.65,0.96
collaboration,3,-0.14,0.55,0.62,0.89
collaborative,33,-0.11,0.59,0.62,0.94
collaborative-research,31,-0.09,0.60,0.56,0.99
collaborator,26,-0.14,0.54,0.64,0.87
colleague,28,-0.14,0.56,0.56,1.00
collect,22,-0.06,0.66,0.64,0.92
college-student,14,-0.03,0.68,0.52,1.00
color,12,-0.11,0.59,0.54,1.00
color-gamut,17,-0.09,0.62,0.53,0.98
colour,0,-0.16,0.50,0.58,0.99
comb,19,-0.16,0.53,0.52,0.96
combinatorial-optimization,6,-0.17,0.45,0.63,0.90
combine,29,-0.02,0.69,0.71,0.91
come,10,-0.06,0.66,0.76,0.81
coming-year,4,-0.20,0.45,0.53,0.87
comment,28,-0.14,0.56,0.52,0.97
commerce,3,-0.14,0.55,0.56,0.91
commercial,3,-0.14,0.55,0.52,0.94
commercialisation,3,-0.14,0.55,0.59,0.96
commercialization,3,-0.14,0.55,0.53,0.96
commercialize,29,-0.02,0.69,0.53,0.97
commission,28,-0.14,0.56,0.62,0.94
commissioner,28,-0.14,0.56,0.71,0.78
commit,11,-0.10,0.60,0.70,0.99
common,37,-0.15,0.56,0.58,0.95
commonplace,37,-0.15,0.56,0.56,0.96
communicate,22,-0.06,0.66,0.73,0.86
communication,2,-0.19,0.47,0.55,0.99
communication-network,39,-0.12,0.59,0.63,0.90
communications,3,-0.14,0.55,0.54,0.95
community,20,-0.13,0.57,0.58,0.91
compact,33,-0.11,0.59,0.65,0.88
companies,3,-0.14,0.55,0.53,0.91
comparable,35,-0.17,0.50,0.62,0.93
compare,11,-0.10,0.60,0.61,0.96
compatible,37,-0.15,0.56,0.56,0.99
compelling,37,-0.15,0.56,0.63,1.00
compensate,11,-0.10,0.60,0.58,0.93
compete,10,-0.06,0.66,0.64,0.95
competition,3,-0.14,0.55,0.50,0.99
competitive,37,-0.15,0.56,0.54,0.98
competitiveness,3,-0.14,0.55,0.64,0.93
compiler,39,-0.12,0.59,0.68,0.98
complaint,28,-0.14,0.56,0.68,0.90
complement,29,-0.02,0.69,0.72,0.84
complementary,33,-0.11,0.59,0.61,0.93
complete,22,-0.06,0.66,0.55,0.92
complex,33,-0.11,0.59,0.63,0.90
complex-calculation,21,-0.12,0.48,0.61,0.91
complexity,12,-0.11,0.59,0.60,0.95
complex-software,6,-0.17,0.45,0.55,0.98
complex-systems,31,-0.09,0.60,0.62,0.96
complicate,11,-0.10,0.60,0.60,0.96
complicated,37,-0.15,0.56,0.68,0.88
component,39,-0.12,0.59,0.59,0.98
composer,15,-0.19,0.47,0.56,0.98
composition,12,-0.11,0.59,0.69,0.89
comprehensive,33,-0.11,0.59,0.65,0.87
compressed,35,-0.17,0.50,0.59,0.93
compression,12,-0.11,0.59,0.59,0.96
computation,12,-0.11,0.59,0.64,0.97
computational,31,-0.09,0.60,0.77,0.82
computational-basis,9,0.29,0.27,0.50,0.58
computational-chemist,26,-0.14,0.54,0.74,0.92
computational-chemistry,31,-0.09,0.60,0.63,0.90
computational-research,6,-0.17,0.45,0.68,0.89
computational-simulation,6,-0.17,0.45,0.62,0.98
compute-power,17,-0.09,0.62,0.62,0.91
computer,39,-0.12,0.59,0.74,0.82
computer-aided-design,31,-0.09,0.60,0.63,0.89
computer-chip,21,-0.12,0.48,0.59,1.00
computer-engineer,26,-0.14,0.54,0.64,0.83
computer-processing,6,-0.17,0.45,0.61,0.94
computer-science,31,-0.09,0.60,0.64,0.92
computer-scientist,26,-0.14,0.54,0.79,0.75
computer-simulation,21,-0.12,0.48,0.58,0.99
computer-system,39,-0.12,0.59,0.74,0.79
computing,31,-0.09,0.60,0.62,0.90
computing-application,9,0.29,0.27,0.51,0.67
computing-architecture,6,-0.17,0.45,0.56,0.95
computing-system,39,-0.12,0.59,0.67,0.88
computing-technology,31,-0.09,0.60,0.63,1.00
conceive,11,-0.10,0.60,0.61,0.96
concentrate,29,-0.02,0.69,0.60,1.00
concentrated,35,-0.17,0.50,0.55,0.92
concentration,12,-0.11,0.59,0.63,0.90
concept,6,-0.17,0.45,0.61,0.93
conceptual,6,-0.17,0.45,0.54,0.99
concerned,37,-0.15,0.56,0.58,0.89
concert,15,-0.19,0.47,0.54,0.88
conclude,11,-0.10,0.60,0.66,0.89
concrete,1,-0.09,0.60,0.55,0.91
concrete-step,32,-0.14,0.55,0.63,0.81
condense,30,-0.16,0.48,0.51,0.88
condensed-matter-physics,31,-0.09,0.60,0.68,0.90
conduct,22,-0.06,0.66,0.74,0.82
conductivity,12,-0.11,0.59,0.77,0.93
confidential-computing,6,-0.17,0.45,0.62,0.88
configuration,39,-0.12,0.59,0.78,0.86
configure,39,-0.12,0.59,0.66,0.90
confine,11,-0.10,0.60,0.72,0.91
confirm,11,-0.10,0.60,0.64,0.93
connect,22,-0.06,0.66,0.68,0.98
connected,37,-0.15,0.56,0.50,0.99
connected-vehicle,6,-0.17,0.45,0.53,0.94
connectivity,3,-0.14,0.55,0.69,0.92
conquer,30,-0.16,0.48,0.59,0.95
consider,11,-0.10,0.60,0.71,0.95
consistency,12,-0.11,0.59,0.57,0.90
consistent,35,-0.17,0.50,0.58,0.99
consolidate,29,-0.02,0.69,0.75,0.82
constant,35,-0.17,0.50,0.59,0.89
constellation,36,-0.20,0.39,0.66,0.95
constitution,28,-0.14,0.56,0.59,0.90
constrained,35,-0.17,0.50,0.67,0.93
constrained-optimization,9,0.29,0.27,0.56,0.83
construct,22,-0.06,0.66,0.60,0.98
consult,22,-0.06,0.66,0.66,0.89
consumer,3,-0.14,0.55,0.53,0.95
consumer-electronics,31,-0.09,0.60,0.53,0.92
contain,11,-0.10,0.60,0.63,0.89
containerized,33,-0.11,0.59,0.58,0.90
content,39,-0.12,0.59,0.62,0.93
continue,29,-0.02,0.69,0.62,0.93
continuous,33,-0.11,0.59,0.64,0.94
continuous-variable,12,-0.11,0.59,0.51,1.00
contribute,29,-0.02,0.69,0.79,0.87
controllability,12,-0.11,0.59,0.71,0.81
controllable,35,-0.17,0.50,0.68,0.86
controllably,1,-0.09,0.60,0.66,0.86
controlled,35,-0.17,0.50,0.54,0.88
controller,39,-0.12,0.59,0.60,0.90
control-line,1,-0.09,0.60,0.62,0.89
convenient,33,-0.11,0.59,0.62,0.97
conventional,33,-0.11,0.59,0.60,0.91
