document,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
"25.76 -4.5 -3.4 Steepest Fall       Thu 25 Loses CNY316 million ($46 million) (1.7%) in MCap, steepest heavyweight fall in Aerospace & defense sector 25.32 -1.7",8,0.54,0.90,0.94,0.37
"3.8 3.5 Top Rise       Thu 25 Adds $83 million (3.4%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.92,0.43
"Wed 24 Loses $9 million (3.1%) in MCap, steepest heavyweight fall in Aerospace & defense sector 10.73 -3.1",8,0.54,0.90,0.94,0.38
"RPC % * Comment       Mon 22 Loses CNY377 million ($55 million) (1.3%) in MCap, steepest heavyweight fall in Aerospace & defense sector 47.78 -1.3",8,0.54,0.90,0.94,0.37
"2.4       Thu 25 Adds CNY289 million ($42 million) (1.1%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.91,0.44
"RPC % * Comment       Mon 22 Adds CNY2 billion ($340 million) (2.1%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.92,0.43
"Wed 24 Adds EUR24,378 ($24,309) (2.4%) in MCap, top heavyweight rise in Aerospace & defense sector 0.38",8,0.54,0.90,0.90,0.45
"Airlines asked to increase flights,",35,0.08,0.88,0.97,0.56
Airlines noted they have voluntarily reduced flights to improve service while they ramped up,12,0.11,0.86,0.90,0.77
An executive of the airline on Wednesday said Volaris would reduce flights at the AICM by 10% in August and 10% in September,12,0.11,0.86,0.93,0.66
forcing airlines to cut flights as the tourism recovery is stronger,4,0.09,0.86,0.92,0.80
Hampshire (the venue for the military Farnborough International Airshow ) is reporting a 20 percent increase in flights,16,0.01,0.90,0.90,0.87
"Steepest Fall       Tue 23 Adds $29 million (1.5%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.92,0.43
"2.2       Fri 26 Loses $2 billion (2.6%) in MCap, steepest heavyweight fall in Aerospace & defense sector 25.21 -2.6",8,0.54,0.90,0.94,0.38
UAE carrier Etihad Airways will be increasing flights to New York this winter to offer travellers more choice,35,0.08,0.88,0.91,0.91
The airline service has expanded its flight strength and aims to operate on more routes,27,0.04,0.81,0.93,0.88
"A small number of workers will be able to go to Malaysia through these flights but the number of flights will increase to 3-4 every day from the beginning of September,” said KM Mobarak Ullah Shimul, Proprietor of Adeb Air Travels and Tours",4,0.09,0.86,0.92,0.81
aviation’s impact on the environment is to reduce the number of flights,12,0.11,0.86,0.92,0.84
The airline has recently increased the number of flights between Delhi and Bangkok to daily service,35,0.08,0.88,0.97,0.56
"In recent months, some airlines have increased their flight offerings at the AIFA and the Toluca International Airport to the west of Mexico City",35,0.08,0.88,0.92,0.76
Startup IPP Air Cargo is due to take off next month,25,0.15,0.95,0.98,0.54
"With the decline in air travel during the pandemic, the number of nonstop destinations from RDU dropped",0,0.08,0.86,0.95,0.79
An airline is increasing its flights from Fort Myers,35,0.08,0.88,0.97,0.56
"10.8       Tue 23 Adds $29 million (1.5%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.91,0.45
"RPC % * Comment       Fri 19 Loses CNY3 billion ($484 million) (2.9%) in MCap, steepest heavyweight fall in Aerospace & defense sector 49.68 -2.9",8,0.54,0.90,0.94,0.37
"RPC % * Comment       Fri 19 Loses CAD136 million ($105 million) (3.9%) in MCap, steepest heavyweight fall in Aerospace & defense sector 34.04 -3.9",8,0.54,0.90,0.94,0.37
"Delta Drone (1DD0: 36.60c) loses EUR1 million ($1 million) (9.9%) in MCap, steepest heavyweight fall in Aerospace & defense sector",8,0.54,0.90,0.94,0.37
"5.9       Wed 24 Adds EUR24,378 ($24,309) (2.4%) in MCap, top heavyweight rise in Aerospace & defense sector 0.38",8,0.54,0.90,0.90,0.45
"The Northern Capital Gateway Company, which operates Pulkovo Airport, reports an increase in the number of flights between St. Petersburg and Yerevan",27,0.04,0.81,0.93,0.79
"RPC % * Comment       Fri 19 Loses RUB2 billion ($33 million) (2.1%) in MCap, steepest heavyweight fall in Aerospace & defense sector 43.76 -2.1",8,0.54,0.90,0.94,0.37
"on slipping relative strength       Thu 25 Loses RUB917 million ($15 million) (1.0%) in MCap, steepest heavyweight fall in Aerospace & defense sector 42.46 -1.0 -0.9 Week",8,0.54,0.90,0.94,0.37
"1.2       Thu 25 Loses CAD20 million ($15 million) (1.1%) in MCap, steepest heavyweight fall in Aerospace & defense sector 17.8 -1.1",8,0.54,0.90,0.94,0.38
international cargo flights are increasing,28,0.07,0.90,0.93,0.90
"The Covid-19 pandemic has greatly impacted the aviation sector, where aircraft movements are only 10% of the pre-pandemic period",17,0.03,0.85,0.90,0.87
Etihad Airways has recently announced the extension of its flights between Abu Dhabi and Zanzibar,23,0.36,0.94,0.98,0.41
The offer of flights to the United States is expanded at the Quito airport,3,0.09,0.81,0.95,0.76
"We are looking forward to working with our airline partners to increase the number of flights out of New Zealand, Australia,",35,0.08,0.88,0.97,0.56
"As airlines cut back flights and airfares rise, now",35,0.08,0.88,0.92,0.68
"Last week, American Airlines cut about 31,000 flights, or about 16%",7,0.98,1.00,1.00,0.00
"In Europe,       British Airways announced it was cutting more than 10,000 flights from its winter schedule",2,0.13,0.85,0.95,0.41
"RPC % * Comment       Thu 18 Adds CAD29 million ($23 million) (1.7%) in MCap, top heavyweight rise in Aerospace & defense sector 18.24",8,0.54,0.90,0.92,0.43
"Continuous growth in global aviation, air traffic, and rise in the tourism industry are the key factors",24,0.11,0.82,0.91,0.79
"Steepest Fall       Wed 24 Adds GBP321 million ($380 million) (1.3%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.92,0.43
"A Share (600893: CNY47.74) loses CNY7 billion ($971 million) (5.8%) in MCap, steepest heavyweight fall in Aerospace & defense sector",8,0.54,0.90,0.94,0.37
"44.72 -2.4 -2.7 Steepest Fall       Fri 19 Loses RUB2 billion ($33 million) (2.1%) in MCap, steepest heavyweight fall in Aerospace & defense sector 43.76 -2.1",8,0.54,0.90,0.94,0.37
"1.2       Fri 19 Loses CAD136 million ($105 million) (3.9%) in MCap, steepest heavyweight fall in Aerospace & defense sector 34.04 -3.9",8,0.54,0.90,0.93,0.39
"Tue 23 Adds $29 million (1.5%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.91,0.45
"RPC % * Comment       Thu 18 Adds EUR150 million ($153 million) (1.2%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.92,0.43
The BBC reported the airline would cut 629 flights from Heathrow until the end of October,35,0.08,0.88,0.91,0.75
Demand for international travel is returning,25,0.15,0.95,0.92,0.94
rate on flights served by Abu Dhabi International Airport increased,7,0.98,1.00,1.00,0.00
"19 Loses CNY3 billion ($484 million) (2.9%) in MCap, steepest heavyweight fall in Aerospace & defense sector 49.68 -2.9",8,0.54,0.90,0.94,0.37
"on slipping relative strength       Mon 22 Adds CNY2 billion ($340 million) (2.1%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.92,0.43
"Wed 24 Loses CNY7 billion ($971 million) (5.8%) in MCap, steepest heavyweight fall in Aerospace & defense sector 47.74 -5.8 -4.7 Week",8,0.54,0.90,0.94,0.38
before air travel returned to normalcy since attack,10,0.10,0.85,0.90,0.79
"British_Airways has announced that it will cut over 10,000 flights",2,0.13,0.85,0.97,0.63
"The airline had already cut more than 30,000 flights over the wider summer period and was planning an increase of those towards the winter",35,0.08,0.88,0.92,0.73
"To keep up with increasing demands for domestic and international flights, local airlines are now shifting to smaller planes as they are quicker",28,0.07,0.90,0.93,0.95
Etihad Airways Boosts Flight Operations to U.S.,7,0.98,1.00,1.00,0.00
"Amid the recent rise in air travel, Etihad has significantly profited from this transoceanic service",26,0.04,0.77,0.91,0.59
"British Airways will cut another 10,000 flights from London Heathrow airport",35,0.08,0.88,0.93,0.94
there has been a decrease in the Russian aviation activity,25,0.15,0.95,0.97,0.56
"According to the Air Force of the Armed Forces of Ukraine, in the last few days, there has been a decrease in the Russian aviation activity",25,0.15,0.95,0.97,0.56
"last week, American Airlines cut 31,000 flights, or about 16%",7,0.98,1.00,1.00,0.00
"British Airways announces plans to cut 10,000 more flights",2,0.13,0.85,0.97,0.63
"RPC % * Comment       Wed 17 Loses CAD128 million ($99 million) (3.6%) in MCap, steepest heavyweight fall in Aerospace & defense sector 35.22 -3.6",8,0.54,0.90,0.94,0.37
"Top Rise       Tue 23 Loses GBP358 million ($421 million) (1.4%) in MCap, steepest heavyweight fall in Aerospace & defense sector 797 -1.4 -0.8 Week",8,0.54,0.90,0.94,0.37
"1.2       Thu 18 Adds CAD29 million ($23 million) (1.7%) in MCap, top heavyweight rise in Aerospace & defense sector 18.24",8,0.54,0.90,0.91,0.45
"Etihad Airways will be increasing flights to New York this winter to offer travellers more choice, reports Gulf News",35,0.08,0.88,0.91,0.72
an effort to expand and capitalize on the aviation sector in Santa Rosa County,18,-0.02,0.83,0.93,0.68
The airport had said in June that it was moderating the growth in the number of flights after major disruption over the platinum jubilee bank holiday,30,0.11,0.86,0.91,0.73
"An Alaska Airlines flight bound for San Diego was forced to return to Seattle-Tacoma International Airport after part of the metal paneling that covers the engine dislodged and detached from the aircraft, the airline said",30,0.11,0.86,0.90,0.93
"British Airways announced plans to cut a further 10,000 flights this winter",2,0.13,0.85,0.97,0.63
"Flynas to boost flights to Europe, North Africa,",7,0.98,1.00,1.00,0.00
Carriers are increasing international flights so demand for global travel is rising,16,0.01,0.90,0.95,0.69
ET further stated that the Boeing 777 will be used to increase the flights on the India-US route,4,0.09,0.86,0.91,0.78
"Hong Kong Airlines also announced that since September is the school month, Hong Kong students studying in the Mainland have increased demand for flights to many cities in the Mainland, especially",4,0.09,0.86,0.90,0.78
Airlines say they have voluntarily reduced flights to improve service,12,0.11,0.86,0.91,0.85
air traffic returned to pre-pandemic levels,10,0.10,0.85,0.91,0.65
"However, the company expects to see increasing demand for air travel in Asia, he said,",21,-0.01,0.82,0.91,0.87
Thai Vietjet has recently expanded its international flight network,3,0.09,0.81,0.90,0.64
Flybe increases flights for Winter 2022,7,0.98,1.00,1.00,0.00
"British Airways has announced that it is to cut 10,000 flights",2,0.13,0.85,0.97,0.63
Increase in Air Traffic is Anticipated to Generate Demand in Airways Segment,28,0.07,0.90,0.91,0.83
as enhancing the security of civil aviation is the first priority,28,0.07,0.90,0.91,0.89
British Airways is to cut thousands of flights from its winter schedules which could impact around one million passengers,6,0.05,0.78,0.91,0.93
British Airways is to cut more flights,35,0.08,0.88,0.95,0.77
This is why business jet flights have risen and people are still flying on airlines,25,0.15,0.95,0.94,0.95
"as airlines are gearing up to increase flights, Phuket",30,0.11,0.86,0.94,0.81
flights could return to Manston Airport quicker,33,0.07,0.88,0.97,0.45
"Etihad Airways will increase its flights to the United States, with four additional weekly flights from Abu Dhabi to New York",35,0.08,0.88,0.94,0.75
"TAAG Angola Airlines reinforced flights within domestic and international destinations, providing passengers with greater availability and options while scheduling their trips",6,0.05,0.78,0.92,0.92
Etihad Airways boosts flights to New York-JFK this winter       * 11 weekly,35,0.08,0.88,0.91,0.74
"RPC % * Comment       Mon 15 Loses CAD68 million ($53 million) (4.2%) in MCap, steepest heavyweight fall in Aerospace & defense sector 15.81 -4.2",8,0.54,0.90,0.94,0.37
"A Share (600893: CNY50.71) adds CNY2 billion ($340 million) (2.1%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.92,0.43
"17 Loses CNY1 billion ($199 million) (1.2%) in MCap, steepest heavyweight fall in Aerospace & defense sector 51.4 -1.2",8,0.54,0.90,0.94,0.37
"on slipping relative strength       Fri 19 Loses CNY3 billion ($484 million) (2.9%) in MCap, steepest heavyweight fall in Aerospace & defense sector 49.68 -2.9 -2.6 Week",8,0.54,0.90,0.94,0.37
"Steepest Fall       Mon 22 Adds CNY2 billion ($340 million) (2.1%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.92,0.43
"RPC % * Comment       Tue 16 Adds $2 billion (1.9%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.92,0.43
"RPC % * Comment       Tue 16 Adds $76 million (3.1%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.92,0.43
"Top Rise       Wed 17 Loses CAD128 million ($99 million) (3.6%) in MCap, steepest heavyweight fall in Aerospace & defense sector 35.22 -3.6",8,0.54,0.90,0.94,0.37
"Along with domestic flights, the carrier will increase flights connecting Vietnam and Asian countries such as Singapore, Thailand, Laos, Cambodia",35,0.08,0.88,0.90,1.00
Our affordable fares will boost transatlantic travel between Europe and the US,29,0.04,0.84,0.91,0.62
"Emirates airline Etihad Airways will increase flights to New York this winter, giving travelers more choice",35,0.08,0.88,0.92,0.80
the cost of air travel has fallen by 4.6%,26,0.04,0.77,0.95,0.73
"Data showed that when international travel was stopped, there was a decrease in domestic travel",16,0.01,0.90,0.92,0.83
Some blame rising demand for air travel,29,0.04,0.84,0.95,0.62
demand for air travel has increased,29,0.04,0.84,0.95,0.62
This is because it can reflect the increase in air travel,28,0.07,0.90,0.91,0.99
"Apart from this, the airline also intends to increase its flights from Cebu to Seoul",35,0.08,0.88,0.97,0.56
"Manila-Davao flights will also be increased from 21 times to 28 times weekly next month, the airline said",30,0.11,0.86,0.92,0.67
This also increases demand for short-haul flights,35,0.08,0.88,0.92,0.76
"This is a huge deterrent for airlines to expand flights and operations, especially because they have to fly further between economic hubs in South Africa",39,0.01,0.86,0.91,0.94
Air travel has nearly returned to pre-pandemic levels,10,0.10,0.85,0.93,0.67
American Airlines increased the number of flights between Dominica and 42 cities in North America and the United States,7,0.98,1.00,1.00,0.00
Air travel has increased substantially in the last year,26,0.04,0.77,0.95,0.73
The government has pledged to increase international flights to 50 percent of previous levels,22,0.36,0.89,0.90,0.55
"This is a huge deterrent for airlines to expand flights and operations, especially as they have to fly further between economic hubs in South Africa",39,0.01,0.86,0.91,0.94
"Earlier this summer, Nicolas Calio, president of the trade group Airlines for America, said its member carriers originally cut flights 15% through August, while tackling issues and becoming more reliable for passengers",30,0.11,0.86,0.90,0.82
we do expect to reduce our air freight usage,19,0.06,0.85,0.94,0.59
margins should improve as we reduce our air freight usage,19,0.06,0.85,0.92,0.69
Tata-owned Air India announced an increase of 24 flights,2,0.13,0.85,0.92,0.53
"RPC % * Comment       Mon 15 Adds $54 million (2.8%) in MCap, top heavyweight rise in Aerospace & defense sector 16.01",8,0.54,0.90,0.92,0.43
"Thu 18 Adds CAD29 million ($23 million) (1.7%) in MCap, top heavyweight rise in Aerospace & defense sector 18.24",8,0.54,0.90,0.91,0.45
"Fujian Sunner Development adds CNY336 million ($49 million) (1.4%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.92,0.43
"19.55       Thu 18 Loses CNY734 million ($108 million) (3.0%) in MCap, steepest heavyweight fall in Aerospace & defense sector 18.96 -3.0 -2.4 Week",8,0.54,0.90,0.93,0.38
"Steepest Fall       Fri 19 Adds CNY336 million ($49 million) (1.4%) in MCap, top heavyweight rise in Aerospace & defense sector 19.23",8,0.54,0.90,0.92,0.43
"MORRISVILLE, N.C. (WNCN) - Flight delays and cancelations have been an issue for many travelers this summer",16,0.01,0.90,0.92,0.89
"Tue 16 Adds $76 million (3.1%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.91,0.45
"Top Rise       Mon 15 Loses CAD68 million ($53 million) (4.2%) in MCap, steepest heavyweight fall in Aerospace & defense sector 15.81 -4.2",8,0.54,0.90,0.94,0.37
"Irkut Corp loses RUB2 billion ($33 million) (2.1%) in MCap, steepest heavyweight fall in Aerospace & defense sector",8,0.54,0.90,0.94,0.37
"RPC % * Comment       Mon 15 Loses RUB4 billion ($59 million) (3.7%) in MCap, steepest heavyweight fall in Aerospace & defense sector 44.98 -3.7",8,0.54,0.90,0.94,0.37
"on slipping relative strength       Fri 19 Loses RUB2 billion ($33 million) (2.1%) in MCap, steepest heavyweight fall in Aerospace & defense sector 43.76 -2.1 -2.2 Week",8,0.54,0.90,0.94,0.37
"28.82       Tue 16 Loses CNY222 million ($33 million) (1.1%) in MCap, steepest heavyweight fall in Aerospace & defense sector 28.51 -1.1",8,0.54,0.90,0.93,0.38
"Gaona Aero Material loses CNY464 million ($68 million) (1.9%) in MCap, steepest heavyweight fall in Aerospace & defense sector",8,0.54,0.90,0.94,0.37
"on falling relative strength       Tue 16 Adds CNY502 million ($74 million) (2.1%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.92,0.43
"Top Rise       Wed 17 Loses CNY382 million ($56 million) (1.5%) in MCap, steepest heavyweight fall in Aerospace & defense sector 51.22 -1.5",8,0.54,0.90,0.94,0.37
"Thu 18 Adds CNY253 million ($37 million) (1.0%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.91,0.45
"on rising relative strength       Fri 19 Loses CNY464 million ($68 million) (1.9%) in MCap, steepest heavyweight fall in Aerospace & defense sector 50.78 -1.9 -0.6 Week",8,0.54,0.90,0.94,0.37
Lufthansa flights to Germany will increase,7,0.98,1.00,1.00,0.00
"RPC % * Comment       Mon 15 Adds $140 million (1.3%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.92,0.43
While passenger demand for air travel has generally increased in recent months as a result of the easing,29,0.04,0.84,0.91,0.73
"RPC % * Comment       Mon 15 Adds CNY352 million ($52 million) (2.0%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.92,0.43
"Bombardier loses CAD136 million ($105 million) (3.9%) in MCap, steepest heavyweight fall in Aerospace & defense sector",8,0.54,0.90,0.94,0.37
"1.2       Fri 19 Loses CAD136 million ($105 million) (3.9%) in MCap, steepest heavyweight fall in Aerospace & defense sector 34.04 -3.9 -3.2 Week",8,0.54,0.90,0.93,0.39
Qatar Airways has announced an increase in flights,23,0.36,0.94,0.98,0.41
"Because of the city’s tough quarantine requirements, airlines have cut the number of flights",35,0.08,0.88,0.97,0.59
"Wed 17 Adds CNY272 million ($40 million) (1.4%) in MCap, top heavyweight rise in Aerospace & defense sector 15.49",8,0.54,0.90,0.90,0.45
"RPC % * Comment       Mon 15 Loses CNY825 million ($122 million) (2.7%) in MCap, steepest heavyweight fall in Aerospace & defense sector 50.36 -2.7",8,0.54,0.90,0.94,0.37
"Thu 18 Adds CNY548 million ($81 million) (1.9%) in MCap, top heavyweight rise in Aerospace & defense sector",8,0.54,0.90,0.91,0.45
airlines to cut flights,35,0.08,0.88,0.97,0.56
miles with rich limited-time offers just in time for the return of summer and business travel,10,0.10,0.85,0.92,0.64
EasyJet cuts thousands of flights amid travel chaos        FTSE,7,0.98,1.00,1.00,0.00
"we have decimated the costs of international phone calls (i.e. voice communication), reduced passenger air transport costs by ~90% (i.e. geographic reach), and decreased sea freight costs by ~80%",19,0.06,0.85,0.91,0.90
"Air Canada is scheduled to reduce its service between Bermuda and Toronto, cutting the number of weekly flights from five to two",12,0.11,0.86,0.95,0.89
"A number of factors have contributed to the delays, from staffing shortages to airlines’ refusal to reduce flights to match their reduced capacities,But airport and airline delays haven’t been the only issue travellers",12,0.11,0.86,0.92,0.65
The number of flights at the airports have increased substantially,7,0.98,1.00,1.00,0.00
"The growth in business aviation activity has moderated in 2022, but is still at a record high",28,0.07,0.90,0.91,0.92
The Angolan national airline will increase the number of weekly flights between Luanda and Lisbon,7,0.98,1.00,1.00,0.00
"the government had asked airlines to cut back flights, but said authorities",30,0.11,0.86,0.94,0.71
Darlong said the state has already requested the civil aviation ministry to increase flight services,30,0.11,0.86,0.93,0.67
Flights of TezJet Airlines from Bishkek to Batken are increased from one to two,35,0.08,0.88,0.96,0.54
of increasing domestic flights was raised,22,0.36,0.89,0.94,0.46
"Already five airlines have increased their flights to Namibia,",35,0.08,0.88,0.97,0.56
The Ministry of Transportation said in a statement that it was agreed to increase the number of flights between Misurata Airport,30,0.11,0.86,0.96,0.57
tourism from China that had been booming prior to the pandemic to rebound as restrictions ease,17,0.03,0.85,0.91,0.97
"Air-travel demand, which was poorly hit by the pandemic gloom, is gradually returning to pre-COVID levels",10,0.10,0.85,0.92,0.63
allowing the airline to cut its schedule from 14 to 12 flights weekly,35,0.08,0.88,0.92,0.71
DOHA        Qatar Airways (QA) has announced an increase in flights,2,0.13,0.85,0.93,0.82
"The Ministry of Transportation of the Government of National Unity, on Monday, announced an agreement to increase the number of flights to Tunisia from 3 Libyan airports",2,0.13,0.85,0.95,0.77
The Ministry of Transportation said it was agreed to increase the number of flights between Misurata Airport,30,0.11,0.86,0.96,0.57
"Coincidentally, COVID-19 has collapsed the demand for air travel, so airlines are no longer capacity-constrained",4,0.09,0.86,0.92,0.98
"high fuel prices have increased the cost of air travel, many",26,0.04,0.77,0.91,0.59
weak yen to boost revenue for both international and domestic flights as inbound tourists are likely,28,0.07,0.90,0.91,0.95
Rolls-Royce expands business aviation service,18,-0.02,0.83,0.91,0.72
Rolls-Royce expands business aviation services,18,-0.02,0.83,0.91,0.72
Her new order would greatly help in encouraging the return of international travel,10,0.10,0.85,0.93,0.66
"Aer Lingus confirmed in a statement the flight returned to Dublin Airport, and landed safely without incident",33,0.07,0.88,0.92,0.71
"Turkish Airlines continues to expand its flight network with flights to Juba, the capital of South Sudan, as of June 1st",3,0.09,0.81,0.90,0.62
Air travel demand returns as COvid-19 restrictions largely,10,0.10,0.85,0.95,0.87
"The country is expanding weekly international flight operation by 230 flights in June,",3,0.09,0.81,0.91,0.76
"At the start of this month, the government had already raised weekly international flights",22,0.36,0.89,0.90,0.55
ReFuelEU Aviation proposal to reduce the aviation sector,19,0.06,0.85,0.94,0.54
"These must be considered when planning to increase flights,” said an aviation industry source",21,-0.01,0.82,0.90,0.92
"The country is expanding weekly international flight operations by 230 flights in June,",3,0.09,0.81,0.91,0.76
It is worth noting that inbound tourism to Egypt from Uzbekistan increased,28,0.07,0.90,0.96,0.72
Madrid increased its air travel from the United States by adding service from three additional gateways,26,0.04,0.77,0.93,0.55
French aviation authorities asked airlines to reduce the number of flights between 7:00 am and 2:00 pm at Paris-Charles de Gaulle airport,12,0.11,0.86,0.90,0.79
Irish low-cost carrier Ryanair said it plans to increase the number of its flights,30,0.11,0.86,0.96,0.56
"In the aviation industry, prices are rising",25,0.15,0.95,0.96,0.63
"In the airline industry, airlines can charge the same amount of money for a ticket while decreasing the quality of a flight",35,0.08,0.88,0.92,0.67
"While domestic travel has seen a bump in airline ticket purchases, international travel has yet to return to pre-pandemic levels",10,0.10,0.85,0.90,0.70
Rising demand for air travel following removal of Covid-19 travel restrictions by several       states will drive traffic,29,0.04,0.84,0.91,0.64
"The focus of the budget would be joint marketing with airlines to increase flights to Thailand from Asia, Europe and Australia, he said",4,0.09,0.86,0.90,0.94
the airline will look to increase the number of flights plying the route,35,0.08,0.88,0.95,0.63
"In some instances, airlines have voluntarily reduced the number of flights to improve service",12,0.11,0.86,0.91,0.97
Ajay Singh-led SpiceJet – which was ordered to cut flights,35,0.08,0.88,0.94,0.62
"This, combined with rising fuel prices, may lead to a reduction in air-travel demand, although current demand is robust",28,0.07,0.90,0.91,0.88
", in addition to researching air travel behavior, the community should reduce its own air travel",19,0.06,0.85,0.94,0.80
"Elsewhere, Heathrow is talking to airlines about reducing flights",35,0.08,0.88,0.95,0.60
The flight returned to Patna airport,33,0.07,0.88,0.98,0.59
International and domestic air travel in Colombia has returned to pre-pandemic levels,10,0.10,0.85,0.93,0.67
"Earlier on Monday, British airline EasyJet said it was likely going to cut more flights utilizing the Dutch airport, among the largest in the European Union",30,0.11,0.86,0.92,0.65
Multiple airlines have begun to cut flights from their daily schedule,35,0.08,0.88,0.92,0.71
"Southwest Airlines cut 20,00 flights",7,0.98,1.00,1.00,0.00
The BBC says the airport asked airlines to cut 10% of flights from schedules across terminals two and three on Monday,30,0.11,0.86,0.92,0.67
"easyJet announced plans to cut 7% of its 160,000 flights scheduled between July and September",23,0.36,0.94,0.98,0.41
"The airline is also actively expanding its international flight network to many destinations across Asia-pacific, connecting Thailand with Vietnam, Taiwan, Singapore,",3,0.09,0.81,0.91,0.69
The Civil Aviation Administration of China (CAAC) is looking to increase flights,7,0.98,1.00,1.00,0.00
This is a global phenomenon due to the increase in air traffic across the world,28,0.07,0.90,0.93,0.85
"al-Baker said Qatar Airways would cut flights to destinations that are irrelevant to the FIFA World Cup, so that the national airline could increase flights to countries taking part",4,0.09,0.86,0.92,0.79
"Compounding the travel misery, Heathrow Airport said it had asked airlines flying from Terminals 2 and 3 to cut 10 percent of flights on Monday",30,0.11,0.86,0.94,0.72
American Airlines plans to cut flights in Ithaca later this year,35,0.08,0.88,0.92,0.79
"Red Air, which is based out of the Dominican Republic, announced earlier this month that it would be increasing flights between Santo Domingo and Miami up to three",2,0.13,0.85,0.96,0.66
"A Share (600893: CNY49.68) loses CNY3 billion ($484 million) (2.9%) in MCap, steepest heavyweight fall in Aerospace & defense sector",8,0.54,0.90,0.94,0.37
Virgin Australia has been clear about its acquisition of new aircraft to expand its own resources flying,39,0.01,0.86,0.91,0.84
United Airlines to cut flights from Newark,7,0.98,1.00,1.00,0.00
